delta_net_http,after_net_http,delta_subprocess_exec,after_subprocess_exec,delta_env_cred_access,after_env_cred_access,delta_filesystem,after_filesystem,delta_encoded_blob,after_encoded_blob,delta_install_hook,after_install_hook,delta_obfuscation,after_obfuscation,delta_loc,delta_char,entropy_before,entropy_after,delta_entropy,delta_longest_token,ast_nodes_after,package,ecosystem,version_after_date,label
0,5,0,1,0,0,0,2,0,0,0,1,0,0,2,288,5.016,5.017,0.001,8,-1,flow-security-cart,npm,2025-09-05T22:37:27.575Z,1
-21,159,1,4,-4,53,0,1,2,57,0,0,0,0,-11805,4337650,5.116,2.746,-2.37,4870842,-1,@vapi-ai/server-sdk,npm,2026-06-03T23:26:29.188Z,1
-21,159,0,4,-4,53,0,1,0,57,0,0,0,0,-11805,-906396,2.808,2.97,0.162,-374133,-1,@vapi-ai/server-sdk,npm,2026-06-03T23:28:37.102Z,1
21,180,0,4,4,57,0,1,0,57,0,0,0,0,11805,531772,2.746,2.808,0.062,-491,-1,@vapi-ai/server-sdk,npm,2026-06-03T23:26:39.269Z,1
21,180,0,4,4,57,0,1,0,57,0,0,0,0,11805,531856,2.97,2.844,-0.126,-408,-1,@vapi-ai/server-sdk,npm,2026-06-03T23:28:48.841Z,1
0,1,0,0,0,1,0,0,0,0,0,1,0,0,-1,-17,5.211,5.225,0.014,0,-1,strict-engine-peer,npm,2026-06-03T17:01:39.479Z,1
0,2,0,1,0,90,0,0,0,2,0,0,0,0,0,249564,3.021,2.885,-0.136,249764,-1,node-env-resolver-aws,npm,2026-06-04T00:27:57.103Z,1
0,2,0,1,0,90,0,0,0,2,0,0,0,0,0,1028,2.885,2.919,0.034,987,-1,node-env-resolver-aws,npm,2026-06-04T00:28:01.980Z,1
0,2,0,1,0,90,0,0,0,2,0,0,0,0,0,1091,2.919,2.97,0.051,1091,-1,node-env-resolver-aws,npm,2026-06-04T00:28:06.794Z,1
0,2,1,1,0,90,0,0,2,2,0,0,0,0,1,4268238,5.188,3.021,-2.167,4267667,-1,node-env-resolver-aws,npm,2026-06-04T00:27:52.440Z,1
0,812,0,55,0,798,0,373,0,278,0,35,0,3,0,0,4.937,4.937,0.0,0,-1,prisma-callback,npm,2026-05-14T12:28:50.082Z,1
0,812,0,55,0,798,0,373,0,278,0,35,0,3,0,0,4.937,4.937,0.0,0,-1,prisma-callback,npm,2026-05-14T12:49:40.311Z,1
0,812,0,55,0,798,0,373,0,278,0,35,0,3,0,0,4.937,4.937,0.0,0,-1,prisma-callback,npm,2026-05-14T12:29:54.060Z,1
0,3,0,3,0,0,0,2,0,0,0,1,0,0,8,254,4.886,4.878,-0.008,0,-1,git-userhub,npm,2026-05-21T04:42:01.087Z,1
0,23,0,0,0,0,0,0,0,42,1,1,0,0,3,67,5.103,5.103,0.0,0,-1,zkjson,npm,2026-05-26T00:57:54.576Z,1
2,2,0,0,0,0,0,0,0,0,0,2,0,0,4,345,4.617,5.185,0.568,99,-1,vl-ui-code-preview,npm,2026-02-22T20:29:45.352Z,1
0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5.143,5.143,0.0,0,-1,spiderai,pypi,2024-11-28T14:31:35.993303Z,1
