model,accuracy,accuracy_ci95,precision,precision_ci95,recall,recall_ci95,f1,f1_ci95,auc_roc,auc_roc_ci95,fpr,fpr_ci95
LightGBM,0.9104,0.0103,0.8844,0.0182,0.9068,0.005,0.8954,0.0112,0.9645,0.0044,0.0869,0.0151
RandomForest,0.9104,0.0119,0.8997,0.0184,0.8873,0.0219,0.8932,0.0143,0.9683,0.0033,0.0727,0.015
XGBoost,0.8966,0.0085,0.8706,0.0128,0.8873,0.021,0.8786,0.0107,0.9603,0.0042,0.0966,0.0117
CatBoost,0.8905,0.0139,0.8604,0.0244,0.8852,0.0186,0.8723,0.0154,0.9545,0.0067,0.1056,0.0216
GradientBoosting,0.8819,0.0139,0.8748,0.0185,0.8411,0.0313,0.8572,0.0181,0.9423,0.0097,0.0884,0.0155
LogisticRegression,0.7032,0.0083,0.6011,0.0087,0.8852,0.0286,0.7157,0.0094,0.777,0.028,0.43,0.0239
